,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Jamestown,90,US,1603077635,62,42.1,-79.24,55.0,10.29
1,Vaini,75,TO,1603077853,78,-21.2,-175.2,73.4,10.29
2,Albany,88,US,1603077819,64,42.6,-73.97,54.0,7.38
3,Rikitea,100,PF,1603077853,81,-23.12,-134.97,74.7,18.66
4,Vikravāndi,100,IN,1603077853,73,12.03,79.55,81.55,7.11
5,Tuktoyaktuk,40,CA,1603077854,92,69.45,-133.04,14.0,2.24
6,Pevek,18,RU,1603077854,94,69.7,170.31,26.65,16.51
7,Vega de Alatorre,16,MX,1603077854,81,20.03,-96.63,76.8,3.83
8,Chicama,9,PE,1603077854,80,-7.84,-79.15,63.75,4.81
9,Busselton,13,AU,1603077854,36,-33.65,115.33,80.01,6.02
10,Mataura,100,NZ,1603077854,95,-46.19,168.86,46.76,4.54
11,Yamethin,100,MM,1603077854,64,20.43,96.15,83.43,1.48
12,Bluff,100,NZ,1603077854,81,-46.6,168.33,48.58,12.17
13,Torbay,90,CA,1603077854,100,47.67,-52.73,53.01,2.24
14,Tessalit,0,ML,1603077854,19,20.2,1.01,78.62,8.72
15,Puerto Ayora,100,EC,1603077854,93,-0.74,-90.35,70.0,8.01
16,Yarega,100,RU,1603077854,98,63.44,53.58,29.52,7.29
17,Seoul,0,KR,1603077582,59,37.57,126.98,66.2,2.24
18,Barrow,90,US,1603077854,79,71.29,-156.79,23.0,14.99
19,Saskylakh,100,RU,1603077854,97,71.92,114.08,19.29,6.17
20,Bridlington,66,GB,1603077854,93,54.08,-0.19,48.2,5.82
21,Kupang,20,ID,1603077855,41,-10.17,123.58,95.0,16.11
22,Xining,100,CN,1603077855,57,36.62,101.77,43.21,2.08
23,Tiksi,93,RU,1603077855,94,71.69,128.87,16.34,17.92
24,Balyqshy,0,KZ,1603077855,71,47.07,51.87,50.0,11.18
25,Aklavik,20,CA,1603077855,84,68.22,-135.01,5.0,7.18
26,Avarua,30,CK,1603077616,74,-21.21,-159.78,78.8,5.82
27,Ohafia,100,NG,1603077855,100,5.62,7.83,72.03,1.43
28,Hasaki,75,JP,1603077855,68,35.73,140.83,66.0,5.82
29,Sosnovo-Ozerskoye,100,RU,1603077855,69,52.52,111.54,39.76,4.9
30,Qaanaaq,49,GL,1603077855,87,77.48,-69.36,26.73,6.89
31,Saint-Philippe,75,RE,1603077856,53,-21.36,55.77,75.2,4.7
32,Toora-Khem,100,RU,1603077856,86,52.47,96.11,29.84,10.85
33,Port-Cartier,75,CA,1603077856,80,50.03,-66.87,39.99,8.05
34,Zharkent,0,KZ,1603077856,39,44.16,80.0,54.32,7.52
35,Dhidhdhoo,100,MV,1603077670,77,6.88,73.1,82.06,12.95
36,Ushuaia,20,AR,1603077856,74,-54.8,-68.3,37.4,16.11
37,Umm Kaddadah,5,SD,1603077856,17,13.6,26.69,80.06,5.37
38,Carnarvon,48,AU,1603077856,64,-24.87,113.63,75.2,17.22
39,Bredasdorp,88,ZA,1603077856,87,-34.53,20.04,57.2,2.24
40,São Filipe,95,CV,1603077856,81,14.9,-24.5,80.13,4.14
41,Ciudad Bolivar,6,VE,1603077856,67,8.12,-63.55,81.57,3.31
42,Chara,33,RU,1603077856,89,56.91,118.26,27.81,1.48
43,Katsuura,75,JP,1603077856,55,35.13,140.3,64.4,8.05
44,Bada,100,RU,1603077857,56,51.39,109.87,44.85,1.48
45,Kruisfontein,100,ZA,1603077857,92,-34.0,24.73,51.01,1.01
46,Saldanha,65,ZA,1603077824,87,-33.01,17.94,48.2,2.24
47,Lagos de Moreno,40,MX,1603077857,26,21.35,-101.92,69.8,6.93
48,Verkhovazh'ye,97,RU,1603077857,94,60.75,42.05,32.97,8.79
49,Punta Arenas,75,CL,1603077857,74,-53.15,-70.92,37.4,34.45
50,Hobart,75,AU,1603077616,51,-42.88,147.33,63.0,6.93
51,Mergen,0,CN,1603077857,55,49.18,125.22,46.17,3.65
52,Constantine,0,DZ,1603077857,81,36.37,6.61,44.6,1.99
53,Pochutla,93,MX,1603077857,80,15.74,-96.47,80.01,4.03
54,Vardø,40,NO,1603077857,80,70.37,31.11,30.2,6.93
55,San Patricio,20,US,1603077857,83,28.02,-97.52,78.8,11.41
56,Lebu,51,CL,1603077857,87,-37.62,-73.65,48.52,1.21
57,Carndonagh,100,IE,1603077858,92,55.25,-7.27,51.8,12.41
58,Thompson,75,CA,1603077858,100,55.74,-97.86,24.8,3.36
59,Seregélyes,2,HU,1603077858,90,47.11,18.57,46.0,4.0
60,Tirat Carmel,0,IL,1603077858,68,32.76,34.97,72.72,7.65
61,Severnyy,40,RU,1603077858,86,50.68,36.55,39.2,8.95
62,Upernavik,100,GL,1603077858,85,72.79,-56.15,33.1,8.23
63,Port Alfred,77,ZA,1603077858,84,-33.59,26.89,58.89,1.14
64,Hilo,90,US,1603077589,83,19.73,-155.09,78.8,6.93
65,Chokurdakh,92,RU,1603077858,98,70.63,147.92,19.85,5.84
66,Yenagoa,65,NG,1603077858,95,4.92,6.26,75.43,3.89
67,Grand Gaube,0,MU,1603077858,65,-20.01,57.66,77.0,8.99
68,Verkhoyansk,100,RU,1603077858,94,67.54,133.38,17.15,6.93
69,Dudinka,90,RU,1603077858,85,69.41,86.18,12.2,8.95
70,Longyearbyen,40,SJ,1603077858,79,78.22,15.64,24.8,10.29
71,La Sarre,100,CA,1603077858,93,48.8,-79.2,33.48,6.73
